experiment,condition,sample,seed,n,k,r,rx,rz,measurement,probe,source,target,witness_target,result,timed_out,timeout_seconds,build_seconds,solve_seconds,decisions,conflicts,propagations,rlimit_count,assertions,row_operation_variables
permutation_survival,B1,8,1013955042,16,2,14,7,7,invalid_mapping,0,1,10,13,unsat,False,300.0,0.248707834,0.005939166,0,0,0,28181925,737,196
permutation_survival,B1,8,1013955042,16,2,14,7,7,invalid_mapping,1,7,6,15,unsat,False,300.0,0.245124500,0.010800375,0,0,0,28302957,737,196
permutation_survival,B1,8,1013955042,16,2,14,7,7,invalid_mapping,2,3,10,8,unsat,False,300.0,0.246135500,0.038264208,584,296,35993,28561407,737,196
permutation_survival,B2,8,1013955042,16,2,14,7,7,base,,,,,sat,False,300.0,0.224596291,0.010216709,1,0,9,28670256,736,98
permutation_survival,B2,8,1013955042,16,2,14,7,7,invalid_mapping,0,1,10,13,unsat,False,300.0,0.223446500,0.003123250,0,0,0,28692700,737,98
permutation_survival,B2,8,1013955042,16,2,14,7,7,invalid_mapping,1,7,6,15,unsat,False,300.0,0.222314167,0.002695542,0,0,0,28714406,737,98
permutation_survival,B2,8,1013955042,16,2,14,7,7,invalid_mapping,2,3,10,8,unsat,False,300.0,0.224243083,0.004096958,0,0,0,28744203,737,98
permutation_survival,C,8,1013955042,16,2,14,7,7,base,,,,,sat,False,300.0,0.120501917,0.020070625,510,188,13478,28884429,512,98
permutation_survival,C,8,1013955042,16,2,14,7,7,invalid_mapping,0,1,10,13,unsat,False,300.0,0.120460291,0.023281083,952,338,22712,29041148,513,98
permutation_survival,C,8,1013955042,16,2,14,7,7,invalid_mapping,1,7,6,15,unsat,False,300.0,0.120581333,0.006261791,0,0,0,29110734,513,98
permutation_survival,C,8,1013955042,16,2,14,7,7,invalid_mapping,2,3,10,8,unsat,False,300.0,0.120822250,0.003346125,0,0,0,29134975,513,98
permutation_survival,A,9,178332925,16,2,14,7,7,base,,,,,sat,False,300.0,0.250665541,0.044701500,751,318,40418,29437255,736,196
permutation_survival,A,9,178332925,16,2,14,7,7,invalid_mapping,0,15,5,14,unsat,False,300.0,0.252012667,0.034962584,357,170,16702,29689275,737,196
