problem,invariant,instance_id,seed,n,k,r,positive,accepted,runtime_seconds,status,timeout,memory_limited,error
pm_stb,linear_dependency,pm_stb-n5k4-s438-positive,438,5,4,1,True,True,0.0016566490521654487,success,False,False,
pm_stb,signatures,pm_stb-n5k4-s438-positive,438,5,4,1,True,True,0.0011385739780962467,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k4-s433-positive,433,5,4,1,True,True,0.0010954029858112335,success,False,False,
pm_stb,signatures,pm_stb-n5k4-s433-positive,433,5,4,1,True,True,0.0012529640225693583,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k4-s89-negative,89,5,4,1,False,True,0.001001702039502561,success,False,False,
pm_stb,signatures,pm_stb-n5k4-s89-negative,89,5,4,1,False,True,0.00116513401735574,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k4-s773-negative,773,5,4,1,False,True,0.0010832529515028,success,False,False,
pm_stb,signatures,pm_stb-n5k4-s773-negative,773,5,4,1,False,True,0.0011656240094453096,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k4-s654-negative,654,5,4,1,False,True,0.0009774010395631194,success,False,False,
pm_stb,signatures,pm_stb-n5k4-s654-negative,654,5,4,1,False,True,0.0012092039687559009,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k4-s438-negative,438,5,4,1,False,True,0.0011965640587732196,success,False,False,
pm_stb,signatures,pm_stb-n5k4-s438-negative,438,5,4,1,False,True,0.0012685039546340704,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k4-s433-negative,433,5,4,1,False,True,0.0010237919632345438,success,False,False,
pm_stb,signatures,pm_stb-n5k4-s433-negative,433,5,4,1,False,True,0.0012329649180173874,success,False,False,
