problem,seed,n,k,r,x_rank,class_sizes,q_pairs,status,timeout,memory_limited,error
pm_css,773,6,2,4,4,4 2,0.5555555555555556,success,False,False,
pm_css,654,6,2,4,1,4 2,0.5555555555555556,success,False,False,
pm_css,438,6,2,4,4,4 2,0.5555555555555556,success,False,False,
pm_css,433,6,2,4,1,3 2 1,0.3888888888888889,success,False,False,
pm_css,858,6,2,4,0,3 2 1,0.3888888888888889,success,False,False,
pm_css,85,6,2,4,3,2 2 1 1,0.2777777777777778,success,False,False,
pm_css,697,6,2,4,3,4 2,0.5555555555555556,success,False,False,
pm_css,201,6,2,4,1,2 2 2,0.3333333333333333,success,False,False,
pm_css,94,6,2,4,0,4 1 1,0.5,success,False,False,
pm_css,89,6,3,3,3,4 2,0.5555555555555556,success,False,False,
pm_css,773,6,3,3,3,4 2,0.5555555555555556,success,False,False,
pm_css,654,6,3,3,1,4 2,0.5555555555555556,success,False,False,
pm_css,438,6,3,3,3,2 2 2,0.3333333333333333,success,False,False,
pm_css,433,6,3,3,1,2 2 2,0.3333333333333333,success,False,False,
pm_css,858,6,3,3,0,4 2,0.5555555555555556,success,False,False,
pm_css,85,6,3,3,2,4 2,0.5555555555555556,success,False,False,
pm_css,697,6,3,3,3,4 2,0.5555555555555556,success,False,False,
pm_css,201,6,3,3,1,4 2,0.5555555555555556,success,False,False,
pm_css,94,6,3,3,0,6,1.0,success,False,False,
pm_css,89,6,4,2,2,4 2,0.5555555555555556,success,False,False,
pm_css,773,6,4,2,2,4 2,0.5555555555555556,success,False,False,
pm_css,654,6,4,2,0,4 2,0.5555555555555556,success,False,False,
pm_css,438,6,4,2,2,4 2,0.5555555555555556,success,False,False,
pm_css,433,6,4,2,0,3 3,0.5,success,False,False,
pm_css,858,6,4,2,0,4 2,0.5555555555555556,success,False,False,
pm_css,85,6,4,2,2,4 2,0.5555555555555556,success,False,False,
pm_css,697,6,4,2,2,6,1.0,success,False,False,
pm_css,201,6,4,2,0,3 2 1,0.3888888888888889,success,False,False,
pm_css,94,6,4,2,0,4 2,0.5555555555555556,success,False,False,
pm_css,89,6,5,1,1,6,1.0,success,False,False,
pm_css,773,6,5,1,1,6,1.0,success,False,False,
pm_css,654,6,5,1,0,6,1.0,success,False,False,
pm_css,438,6,5,1,1,4 2,0.5555555555555556,success,False,False,
pm_css,433,6,5,1,0,4 2,0.5555555555555556,success,False,False,
pm_css,858,6,5,1,0,6,1.0,success,False,False,
pm_css,85,6,5,1,1,6,1.0,success,False,False,
pm_css,697,6,5,1,1,4 2,0.5555555555555556,success,False,False,
pm_css,201,6,5,1,0,4 2,0.5555555555555556,success,False,False,
pm_css,94,6,5,1,0,6,1.0,success,False,False,
pm_css,89,7,0,7,6,5 2,0.5918367346938775,success,False,False,
pm_css,773,7,0,7,6,4 3,0.5102040816326531,success,False,False,
pm_css,654,7,0,7,2,4 2 1,0.42857142857142855,success,False,False,
pm_css,438,7,0,7,7,7,1.0,success,False,False,
pm_css,433,7,0,7,2,3 2 2,0.3469387755102041,success,False,False,
pm_css,858,7,0,7,1,4 3,0.5102040816326531,success,False,False,
pm_css,85,7,0,7,5,6 1,0.7551020408163265,success,False,False,
pm_css,697,7,0,7,6,5 2,0.5918367346938775,success,False,False,
pm_css,201,7,0,7,2,3 2 1 1,0.30612244897959184,success,False,False,
pm_css,94,7,0,7,0,7,1.0,success,False,False,
pm_css,89,7,2,5,5,7,1.0,success,False,False,
pm_css,773,7,2,5,5,4 2 1,0.42857142857142855,success,False,False,
pm_css,654,7,2,5,1,3 2 2,0.3469387755102041,success,False,False,
pm_css,438,7,2,5,5,5 2,0.5918367346938775,success,False,False,
pm_css,433,7,2,5,1,5 2,0.5918367346938775,success,False,False,
